dateTime,code,OP
2008-11-17,OP,0.08874
2009-01-19,OP,0.06794
2009-02-03,OP,0.05439
2009-03-02,OP,0.06891
2009-04-06,OP,0.08024
2009-04-23,OP,0.05865
2009-05-04,OP,0.05825
2009-05-20,OP,0.05542
2009-06-01,OP,0.07046
2009-06-18,OP,0.08971
2009-08-13,OP,0.07677
2009-10-08,OP,0.08403
2009-12-02,OP,0.09959
2010-01-12,OP,0.06338
2010-02-16,OP,0.04723
2010-02-23,OP,0.043085
2010-03-11,OP,0.03405
2010-03-22,OP,0.06881
2010-04-07,OP,0.05526
2010-04-21,OP,0.06998
2010-05-05,OP,0.08836
2010-05-19,OP,0.063
2010-06-02,OP,0.06873
2010-06-16,OP,0.09172
2010-08-11,OP,0.13688
2010-10-27,OP,0.10776
2010-12-08,OP,0.08189
2011-01-10,OP,0.05423
2011-02-09,OP,0.05055
2011-02-22,OP,0.04904
2011-03-08,OP,0.06876
2011-03-21,OP,0.05098
2011-04-06,OP,0.04858
2011-04-20,OP,0.06179
2011-05-09,OP,0.05706
2011-05-16,OP,0.05381
2011-05-23,OP,0.05513
2011-05-30,OP,0.06314
2011-06-06,OP,0.06484
2011-06-13,OP,0.0747
2011-06-20,OP,0.08729
2011-06-27,OP,0.09419
2011-07-11,OP,0.08616
2011-07-25,OP,0.10245
2011-08-22,OP,0.11465
2011-10-24,OP,0.07629
2011-12-06,OP,0.06626
2012-01-17,OP,0.05406
2012-02-06,OP,0.0547
2012-02-22,OP,0.05089
2012-03-05,OP,0.04282
2012-03-19,OP,0.04324
2012-04-02,OP,0.0521
2012-04-16,OP,0.06322
2012-04-30,OP,0.06258
2012-05-14,OP,0.07697
2012-06-11,OP,0.08443
2012-06-25,OP,0.09266
2012-08-06,OP,0.09244
2012-10-22,OP,0.063
2012-12-03,OP,0.048
2013-01-15,OP,0.052
2013-02-05,OP,0.057
2013-02-18,OP,0.05
2013-03-04,OP,0.051
2013-03-18,OP,0.053
2013-04-08,OP,0.055
2013-04-22,OP,0.072
2013-05-06,OP,0.065
2013-05-20,OP,0.0696
2013-06-03,OP,0.08348
2013-06-17,OP,0.09247
2013-07-15,OP,0.11388
2013-07-30,OP,0.10153
2013-08-19,OP,0.09116
2013-11-12,OP,0.0797
2013-12-03,OP,0.09635
2014-01-16,OP,0.05843
2014-02-03,OP,0.05599
2014-02-18,OP,0.04808
2014-03-05,OP,0.06145
2014-03-17,OP,0.07365
2014-04-07,OP,0.0923
2014-04-21,OP,0.0699
2014-05-05,OP,0.07941
2014-05-19,OP,0.07156
2014-06-04,OP,0.07407
2014-06-16,OP,0.08964
2014-07-07,OP,0.10793
2014-07-28,OP,0.12867
2014-08-18,OP,0.1054
2014-10-20,OP,0.10983
2014-12-08,OP,0.06968
2015-01-12,OP,0.0707
2015-02-24,OP,0.05213
2015-03-09,OP,0.04431
2015-03-23,OP,0.04326
2015-04-06,OP,0.05222
2015-04-20,OP,0.06095
2015-05-07,OP,0.05449
2015-05-18,OP,0.04988
2015-06-01,OP,0.08958
2015-06-15,OP,0.08285
2015-06-29,OP,0.10061
2015-07-13,OP,0.10124
2015-08-10,OP,0.11036
2015-10-05,OP,0.13003
2015-12-07,OP,0.0876
2016-01-11,OP,0.0524
2016-02-03,OP,0.06127
2016-02-25,OP,0.0519
2016-03-07,OP,0.05009
2016-03-21,OP,0.05316
2016-04-04,OP,0.05777
2016-04-18,OP,0.06517
2016-05-02,OP,0.06044
2016-05-23,OP,0.07572
2016-06-06,OP,0.08308
2016-06-20,OP,0.09122
2016-07-11,OP,0.09968
2016-07-25,OP,0.09171
2016-08-22,OP,0.10925
2016-10-20,OP,0.14
2016-12-12,OP,0.08
2017-01-23,OP,0.08
2017-02-13,OP,0.08
2017-02-28,OP,0.07
2017-03-13,OP,0.08
2017-03-27,OP,0.06453
2017-04-10,OP,0.06
2017-04-24,OP,0.07
2017-05-08,OP,0.06
2017-05-25,OP,0.08
2017-06-08,OP,0.09
2017-06-19,OP,0.09
2017-07-10,OP,0.09
2017-07-25,OP,0.1
2017-08-14,OP,0.1
2017-10-16,OP,0.04
2017-12-14,OP,0.09
2018-01-23,OP,0.05624
2018-02-08,OP,0.05984
2018-03-01,OP,0.04862
2018-03-12,OP,0.05276
2018-03-26,OP,0.06085
2018-04-09,OP,0.07307
2018-04-23,OP,0.05941
2018-05-07,OP,0.06056
2018-05-21,OP,0.07565
2018-06-04,OP,0.08523
2018-06-21,OP,0.05992
2018-07-09,OP,0.11149
2018-07-23,OP,0.14047
2018-08-13,OP,0.09671
